timestamp,voltage_V,current_A,temperature_C,power_W
0.0,12.01,0.52,25.3,6.25
0.5,12.05,0.53,25.4,6.39
1.0,11.98,0.51,25.6,6.11
1.5,12.10,0.54,25.8,6.53
2.0,12.03,0.52,26.0,6.26
2.5,11.95,0.50,26.2,5.98
3.0,12.08,0.53,26.5,6.40
3.5,12.15,0.55,26.7,6.68
4.0,12.02,0.52,26.9,6.25
4.5,11.97,0.51,27.1,6.10
5.0,12.06,0.53,27.3,6.39
5.5,12.11,0.54,27.5,6.54
6.0,12.04,0.52,27.7,6.26
6.5,11.99,0.51,27.9,6.11
7.0,12.07,0.53,28.1,6.40
7.5,12.13,0.55,28.3,6.67
8.0,12.01,0.52,28.5,6.24
8.5,11.96,0.50,28.7,5.98
9.0,12.09,0.54,28.9,6.53
9.5,12.14,0.55,29.1,6.68
